city_key,pref_code,pref_name,city_code,city_name
33507,3,岩手県,3507,洋野町
33524,3,岩手県,3524,一戸町
44000,4,宮城県,4000,
44100,4,宮城県,4100,仙台市
44202,4,宮城県,4202,石巻市
44203,4,宮城県,4203,塩竈市
44205,4,宮城県,4205,気仙沼市
44206,4,宮城県,4206,白石市
44207,4,宮城県,4207,名取市
44208,4,宮城県,4208,角田市
44209,4,宮城県,4209,多賀城市
44211,4,宮城県,4211,岩沼市
44212,4,宮城県,4212,登米市
44213,4,宮城県,4213,栗原市
44214,4,宮城県,4214,東松島市
44215,4,宮城県,4215,大崎市
44216,4,宮城県,4216,富谷市
44301,4,宮城県,4301,蔵王町
44302,4,宮城県,4302,七ヶ宿町
44321,4,宮城県,4321,大河原町
44322,4,宮城県,4322,村田町
44323,4,宮城県,4323,柴田町
44324,4,宮城県,4324,川崎町
44341,4,宮城県,4341,丸森町
44361,4,宮城県,4361,亘理町
44362,4,宮城県,4362,山元町
44401,4,宮城県,4401,松島町
44404,4,宮城県,4404,七ヶ浜町
44406,4,宮城県,4406,利府町
44421,4,宮城県,4421,大和町
44422,4,宮城県,4422,大郷町
44424,4,宮城県,4424,大衡村
44444,4,宮城県,4444,色麻町
44445,4,宮城県,4445,加美町
44501,4,宮城県,4501,涌谷町
44505,4,宮城県,4505,美里町
44581,4,宮城県,4581,女川町
44606,4,宮城県,4606,南三陸町
55000,5,秋田県,5000,
55201,5,秋田県,5201,秋田市
55202,5,秋田県,5202,能代市
55203,5,秋田県,5203,横手市
55204,5,秋田県,5204,大館市
55206,5,秋田県,5206,男鹿市
55207,5,秋田県,5207,湯沢市
55209,5,秋田県,5209,鹿角市
55210,5,秋田県,5210,由利本荘市
55211,5,秋田県,5211,潟上市
55212,5,秋田県,5212,大仙市
55213,5,秋田県,5213,北秋田市
55214,5,秋田県,5214,にかほ市
55215,5,秋田県,5215,仙北市
55303,5,秋田県,5303,小坂町
55327,5,秋田県,5327,上小阿仁村
55346,5,秋田県,5346,藤里町
55348,5,秋田県,5348,三種町
55349,5,秋田県,5349,八峰町
55361,5,秋田県,5361,五城目町
55363,5,秋田県,5363,八郎潟町
55366,5,秋田県,5366,井川町
55368,5,秋田県,5368,大潟村
55434,5,秋田県,5434,美郷町
55463,5,秋田県,5463,羽後町
55464,5,秋田県,5464,東成瀬村
66000,6,山形県,6000,
66201,6,山形県,6201,山形市
66202,6,山形県,6202,米沢市
66203,6,山形県,6203,鶴岡市
66204,6,山形県,6204,酒田市
66205,6,山形県,6205,新庄市
66206,6,山形県,6206,寒河江市
66207,6,山形県,6207,上山市
66208,6,山形県,6208,村山市
66209,6,山形県,6209,長井市
66210,6,山形県,6210,天童市
66211,6,山形県,6211,東根市
66212,6,山形県,6212,尾花沢市
66213,6,山形県,6213,南陽市
66301,6,山形県,6301,山辺町
66302,6,山形県,6302,中山町
66321,6,山形県,6321,河北町
66322,6,山形県,6322,西川町
66323,6,山形県,6323,朝日町
66324,6,山形県,6324,大江町
66341,6,山形県,6341,大石田町
66361,6,山形県,6361,金山町
66362,6,山形県,6362,最上町
66363,6,山形県,6363,舟形町
66364,6,山形県,6364,真室川町
66365,6,山形県,6365,大蔵村
66366,6,山形県,6366,鮭川村
66367,6,山形県,6367,戸沢村
66381,6,山形県,6381,高畠町
66382,6,山形県,6382,川西町
66401,6,山形県,6401,小国町
66402,6,山形県,6402,白鷹町
66403,6,山形県,6403,飯豊町
66426,6,山形県,6426,三川町
66428,6,山形県,6428,庄内町
66461,6,山形県,6461,遊佐町
77000,7,福島県,7000,
77201,7,福島県,7201,福島市
77202,7,福島県,7202,会津若松市
77203,7,福島県,7203,郡山市
77204,7,福島県,7204,いわき市
77205,7,福島県,7205,白河市
77207,7,福島県,7207,須賀川市
77208,7,福島県,7208,喜多方市
77209,7,福島県,7209,相馬市
77210,7,福島県,7210,二本松市
77211,7,福島県,7211,田村市
77212,7,福島県,7212,南相馬市
77213,7,福島県,7213,伊達市
77214,7,福島県,7214,本宮市
77301,7,福島県,7301,桑折町
77303,7,福島県,7303,国見町
77308,7,福島県,7308,川俣町
77322,7,福島県,7322,大玉村
77342,7,福島県,7342,鏡石町
77344,7,福島県,7344,天栄村
77362,7,福島県,7362,下郷町
77364,7,福島県,7364,檜枝岐村
77367,7,福島県,7367,只見町
77368,7,福島県,7368,南会津町
