date_key,date,is_holiday,holiday_name,holiday_category
19750211,1975-02-11,True,建国記念の日,国民の祝日
19750321,1975-03-21,True,春分の日,国民の祝日
19750429,1975-04-29,True,天皇誕生日,国民の祝日
19750503,1975-05-03,True,憲法記念日,国民の祝日
19750505,1975-05-05,True,こどもの日,国民の祝日
19750915,1975-09-15,True,敬老の日,国民の祝日
19750924,1975-09-24,True,秋分の日,国民の祝日
19751010,1975-10-10,True,体育の日,国民の祝日
19751103,1975-11-03,True,文化の日,国民の祝日
19751123,1975-11-23,True,勤労感謝の日,国民の祝日
19751124,1975-11-24,True,休日,国民の祝日
19760101,1976-01-01,True,元日,国民の祝日
19760115,1976-01-15,True,成人の日,国民の祝日
19760211,1976-02-11,True,建国記念の日,国民の祝日
19760320,1976-03-20,True,春分の日,国民の祝日
19760429,1976-04-29,True,天皇誕生日,国民の祝日
19760503,1976-05-03,True,憲法記念日,国民の祝日
19760505,1976-05-05,True,こどもの日,国民の祝日
19760915,1976-09-15,True,敬老の日,国民の祝日
19760923,1976-09-23,True,秋分の日,国民の祝日
19761010,1976-10-10,True,体育の日,国民の祝日
19761011,1976-10-11,True,休日,国民の祝日
19761103,1976-11-03,True,文化の日,国民の祝日
19761123,1976-11-23,True,勤労感謝の日,国民の祝日
19770101,1977-01-01,True,元日,国民の祝日
19770115,1977-01-15,True,成人の日,国民の祝日
19770211,1977-02-11,True,建国記念の日,国民の祝日
19770321,1977-03-21,True,春分の日,国民の祝日
19770429,1977-04-29,True,天皇誕生日,国民の祝日
19770503,1977-05-03,True,憲法記念日,国民の祝日
19770505,1977-05-05,True,こどもの日,国民の祝日
19770915,1977-09-15,True,敬老の日,国民の祝日
19770923,1977-09-23,True,秋分の日,国民の祝日
19771010,1977-10-10,True,体育の日,国民の祝日
19771103,1977-11-03,True,文化の日,国民の祝日
19771123,1977-11-23,True,勤労感謝の日,国民の祝日
19780101,1978-01-01,True,元日,国民の祝日
19780102,1978-01-02,True,休日,国民の祝日
19780115,1978-01-15,True,成人の日,国民の祝日
19780116,1978-01-16,True,休日,国民の祝日
19780211,1978-02-11,True,建国記念の日,国民の祝日
19780321,1978-03-21,True,春分の日,国民の祝日
19780429,1978-04-29,True,天皇誕生日,国民の祝日
19780503,1978-05-03,True,憲法記念日,国民の祝日
19780505,1978-05-05,True,こどもの日,国民の祝日
